Country,Location,Industry_Sector,Gender,Employee_Type,Critical_Risk,Description,Month,Weekday,Potential_Accident_Level
Country_02,Local_05,Metals,Female,Employee,Venomous Animals,By participating in the general DDS held in the outside area of the central locker room the employee was bitten by a bee,September,Monday,2
Country_01,Local_03,Mining,Male,Third Party,Others,During the activity of chuteo of ore in hopper OP the operator of the locomotive parks his equipment under the hopper to fill the first car it is at this moment that when it was blowing out to release the load a mud flow suddenly appears with the presence of rock fragments the personnel that was in the direction of the flow was covered with mud,December,Thursday,4
Country_01,Local_03,Mining,Male,Third Party,Cut,Being afternoon hours Approximately in circumstances that the Administrative SSOMAC was arranged to move the guillotine of the right side towards the center of the table to make cuts of enmicadas pages when trying to raise the guillotine the middle finger of the right hand It rubs against the edge of the guillotine blade causing the cut in the yolk of the third finger of the right hand,February,Wednesday,4
Country_01,Local_06,Metals,Male,Third Party (Remote),Pressurized Systems / Chemical Substances,Approx at morning there is a leakage of sulfur dioxide SO from section  due to water seal blowing due to overpressure of the acid plant at that moment there were  collaborators of CORMEI companies EISSA and COSAPI doing work near the impacted area who were evacuated to the medical center for their care then returned to their usual work,February,Friday,4
Country_01,Local_03,Mining,Male,Third Party (Remote),Manual Tools,In the substation MILPO located at level  when the collaborator was doing the excavation work with a pick hand tool hitting a rock with the flat part of the beak it bounces off hitting the steel tip of the safety shoe and then the metatarsal area of the left foot of the collaborator causing the injury,January,Wednesday,3
Country_02,Local_05,Metals,Male,Employee,Fall prevention (same level),The collaborator reports that he was on street  holding in his left hand the volumetric balloon when he slipped and when placing his hand on the ground the volumetric balloon ended up breaking caused a small wound in his left hand,January,Saturday,3
Country_01,Local_06,Metals,Male,Third Party (Remote),Chemical substances,On Sunday  the collaborator goes to the medical center saying that he had an accident  days ago when he performed internal maintenance work on the heat exchangers defined as a confined space and at risk of burning with acid When leaving the confined space the employee removes the protective gloves without having passed through the emergency shower At that moment skin contact occurs with sulfates generating the lesion,May,Thursday,2
Country_02,Local_12,Others,Female,Employee,Others,On leaving the Company the employee stumbled onto the exit ladder of the building and fell  steps causing twisting of the ankle and grating on the cinnamon,August,Thursday,4
Country_02,Local_05,Metals,Male,Third Party,Pressed,Employee reports that when handling the air conditioning pressed the nd right chirodactilo causing a contusion,April,Tuesday,3
Country_01,Local_03,Mining,Male,Third Party,Fall prevention,At level  formerly level  the hydraulic filling personnel performed the installation of  diameter HDPE pipe through the ventilation chimney with the help of a yard scooptram that held and pushed the end of the pipe pipe  meters in length At that moment the pipe gets stuck on the edge of the chimney causing the pipe to form an arc at the height where the injured worker was who signals with the light of his lamp to the operator of the scooptram to stop and when trying to retire from the line of fire the worker loses balance by light contact with the pipe causing fall at the same level,April,Friday,4
