Country,Location,Industry_Sector,Potential_Accident_Level,Gender,Employee_Type,Critical_Risk,Description,Month,Weekday
Country_01,Local_01,Mining,4,Male,Third Party,Pressed,removing drill rod miss mob miss maintenance supervisor proceeds loosen support intermediate centralizer facilitate removal seeing mechanic support one end drill equipment pull hand bar accelerate removal moment bar slide point support tightens finger mechanic drilling bar beam jumbo,January,Friday
Country_02,Local_02,Mining,4,Male,Employee,Pressurized Systems,activation sodium sulfide pump piping uncoupled sulfide solution designed area reach maid immediately made use emergency shower directed ambulatory doctor later hospital note sulfide solution gram liter,January,Saturday
Country_01,Local_03,Mining,3,Male,Third Party (Remote),Manual Tools,sub station organization lo located level collaborator excavation work pick hand tool hitting rock flat part beak bounce hitting steel tip safety shoe metatarsal area left foot collaborator causing injury,January,Wednesday
Country_01,Local_04,Mining,1,Male,Third Party,Others,name approximately name x name name name personnel begin task unlocking name quiet bolt name h name machine penultimate bolt identified hexagonal head worn proceeding name rest bad name auxiliary assistant climb platform exert pressure hand dad name key prevent coming bolt moment two collaborator rotate lever anti name clockwise direction leaving key bolt hitting palm left hand causing injury,January,Friday
Country_01,Local_04,Mining,4,Male,Third Party,Others,approximately circumstance mechanic name group leader name name name injured three organ organic location action location organic location action organic location action performed removal pulley motor pump location location length weight keg locked proceed heating pulley loosen come fall distance meter high hit instep right foot worker causing injury described,January,Sunday
Country_02,Local_05,Metals,3,Male,Third Party (Remote),Pressurized Systems,unloading operation miss g need unclog discharge mouth silo truck performing procedure maneuver unhooking hose without total depressurization mouth projecting powder collaborator caused irritation eye,January,Tuesday
Country_02,Local_05,Metals,3,Male,Employee,Fall prevention (same level),collaborator report street holding left hand volumetric balloon slipped placing hand ground volumetric balloon ended breaking caused small wound left hand,January,Saturday
Country_01,Local_04,Mining,3,Male,Third Party,Pressed,organization approximately p mechanic technician n organization organization organization nip organization ton coming verified transmission belt miss miss miss pump organization plant proceeded turn pulley manually unexpectedly instant electrician supervisor organization organization k organization organization grab transmission belt verify tension point finger trap,January,Sunday
Country_02,Local_02,Mining,4,Male,Third Party (Remote),Others,employee sitting resting area level raise bore suffered sudden illness falling suffering excoriation face,January,Tuesday
Country_01,Local_06,Metals,2,Male,Third Party,Chemical substances,moment forklift operator went manipulate big bag dioxide section front ladder lead area manual displacement splashed spent height forehead fissure pipe g subsequently spilling left eye collaborator went nearby eyewash cleaning immediately medical center,January,Tuesday
Country_01,Local_03,Mining,3,Male,Employee,Others,installing segment polyurethane pulley protective loner weighing keg head pulley ore winch pulley rotated compress loner inside channel fall housing rubbing right side worker hip generating injury described,January,Thursday
